"set","n_genes","Direction","PValue","FDR_sets"
"RiPP",4,"Up",0.00220717274863338,0.0154502092404336
"Terpene",5,"Up",0.032923021775923,0.0958971433920102
"Verruculogen",8,"Down",0.041098775739433,0.0958971433920102
"NRPS",14,"Down",0.0899563039371687,0.157423531890045
"Iron_uptake",10,"Up",0.206709779696747,0.289393691575445
"PKS",13,"Down",0.271708627335165,0.316993398557692
"Fe_S_iron_dependent",10,"Down",0.602612242704538,0.602612242704538
