PMG11_00001	426	0
PMG11_00002	2415	0
PMG11_00003	1359	0
PMG11_00004	1719	1
PMG11_00005	861	34
PMG11_00006	1794	0
PMG11_00007	765	8
PMG11_00008	768	0
PMG11_00009	675	1
PMG11_00010	2178	44
PMG11_00011	2355	39
PMG11_00012	1395	7
PMG11_00013	1062	41
PMG11_00014	576	2
PMG11_00015	627	0
PMG11_00016	801	0
PMG11_00017	1563	0
PMG11_00018	417	0
PMG11_00019	642	0
PMG11_00020	1572	9
PMG11_00021	2619	15
PMG11_00022	1383	2
PMG11_00023	705	0
PMG11_00024	1020	3
PMG11_00025	1614	15
PMG11_00026	963	1
PMG11_00027	1005	24
PMG11_00028	1944	2
PMG11_00029	2142	91
PMG11_00030	3339	0
PMG11_00031	630	10
PMG11_00032	666	2
PMG11_00033	1035	14
PMG11_00034	492	38
PMG11_00035	783	18
PMG11_00036	699	38
PMG11_00037	627	0
PMG11_00038	825	55
PMG11_00039	1956	33
PMG11_00040	1716	29
PMG11_00041	555	0
PMG11_00042	645	1
PMG11_00043	2112	6
PMG11_00044	954	46
PMG11_00045	774	6
PMG11_00046	1905	45
PMG11_00047	3285	616
PMG11_00048	3822	68
PMG11_00049	897	65
PMG11_00050	3519	204
PMG11_00051	2088	78
PMG11_00052	2157	6
PMG11_00053	1068	0
PMG11_00054	1038	9
PMG11_00055	1662	199
PMG11_00056	999	25
PMG11_00057	5097	42
PMG11_00058	1158	0
PMG11_00059	1488	3
PMG11_00060	1605	27
PMG11_00061	456	613
PMG11_00062	2118	6
PMG11_00063	1836	46
PMG11_00064	1215	112
PMG11_00065	2457	89
PMG11_00066	1161	18
PMG11_00067	3579	785
PMG11_00068	987	17
PMG11_00069	1917	42
PMG11_00070	5904	63
PMG11_00071	879	3
PMG11_00072	1395	10
PMG11_00073	1374	2
PMG11_00074	489	11
PMG11_00075	1674	2
PMG11_00076	2319	71
PMG11_00077	1401	28
PMG11_00078	1440	62
PMG11_00079	432	28
PMG11_00080	1062	23
PMG11_00081	1296	49
PMG11_00082	897	3
PMG11_00083	921	3
PMG11_00084	702	2
PMG11_00085	939	3
PMG11_00086	2283	7
PMG11_00087	1962	13
PMG11_00088	2556	80
PMG11_00089	444	0
PMG11_00090	363	16
