"enzyme","gene_ID","logFC","P.Value","adj.P.Val","adj.P.within_cluster"
"FtmA","PMG11_03146",-6.92298350187022,4.93246942690365e-05,0.0241992430605478,0.000394597554152292
"FtmB","PMG11_03149",-6.32042422249551,0.0005054757568656,0.0379642553836848,0.0010109515137312
"FtmC","PMG11_03147",-5.10973259150324,0.000879254818178033,0.0500948341892272,0.00140680770908485
"FtmD","PMG11_03148",-6.10026785490507,0.00034527428363436,0.0338887836679995,0.0010109515137312
"FtmE","PMG11_03150",-5.46690180837351,0.000475329384103451,0.0374788731340855,0.0010109515137312
"FtmF","PMG11_03151",-8.29831523859736,0.00120059806115,0.0605856084458038,0.00160079741486667
"FtmG","PMG11_03152",-5.87454792696526,0.00268913150025326,0.0924035808511149,0.00307329314314658
"FtmH","PMG11_03153",-4.6178631041953,0.00647961301948546,0.156474212507885,0.00647961301948546
