"gene_ID","gene_length","logFC","fold_change","direction","AveExpr","t","P.Value","adj.P.Val","BGC_class","enzyme","product"
"PMG11_04618",1353,-9.60969942563473,0.0012799476978921,"down in DK1042 WT",8.02138144704822,-18.9132536366731,8.74632637558706e-07,0.00772388082228093,"","","Putative PEPAb"
"PMG11_06524",1596,7.33362885683587,161.30293250222,"up in DK1042 WT",7.23018981263715,12.6747053606186,8.60595106946701e-06,0.0223365845917953,"","","Putative Arylsulfotransferase"
"PMG11_00464",1341,6.15007228324636,71.0160042329839,"up in DK1042 WT",8.08540114402905,12.5711586446667,8.61998382241998e-06,0.0223365845917953,"","","hypothetical protein"
"PMG11_01148",1017,7.77438739055322,218.939338948088,"up in DK1042 WT",6.73114569826948,11.9037988718617,1.26127790410321e-05,0.0223365845917953,"","","Putative 2,3-dihydroxybenzoate decarboxylase"
"PMG11_10189",717,6.78208990790138,110.055688630798,"up in DK1042 WT",7.40437349855706,11.3597213751775,1.59504313521311e-05,0.0223365845917953,"","","hypothetical protein"
"PMG11_09948",1662,4.50898588503238,22.7687926144888,"up in DK1042 WT",8.6426840315741,10.6451434499898,2.1145777683033e-05,0.0223365845917953,"","","Putative Succinyl-CoA:3-ketoacid-coenzyme A transferase"
"PMG11_09747",1461,5.98975604330908,63.5471731063359,"up in DK1042 WT",7.96983402505677,10.730676872972,2.14845173576983e-05,0.0223365845917953,"","","hypothetical protein"
"PMG11_01805",1893,-6.25235500603648,0.0131175763192716,"down in DK1042 WT",6.58654747537143,-10.7063506988359,2.20048025222178e-05,0.0223365845917953,"","","hypothetical protein"
"PMG11_00845",4341,-4.30306680996322,0.0506579740114209,"down in DK1042 WT",7.3661019293039,-10.4946467333637,2.27640427274553e-05,0.0223365845917953,"","","hypothetical protein"
"PMG11_02069",1980,5.31494799358532,39.8069379152198,"up in DK1042 WT",7.48681457213769,10.0840512435875,2.98729103602075e-05,0.022784617691729,"","","Putative Hyaluronan synthase 1 (Fragment)"
"PMG11_08060",741,8.21091974295739,296.30101188264,"up in DK1042 WT",5.44821670360895,10.2171216275148,3.10302154694507e-05,0.022784617691729,"","","hypothetical protein"
"PMG11_06525",1665,5.62163623031409,49.2358148694333,"up in DK1042 WT",6.83978236131058,10.0109894329192,3.15547864296705e-05,0.022784617691729,"","","Putative Remark: Botryotinia fuckeliana=Botrytis cinerea (Precursor)"
"PMG11_10829",309,-5.32554584932399,0.0249373876301429,"down in DK1042 WT",4.88671899729238,-9.88334353588587,3.35409387376829e-05,0.022784617691729,"","","hypothetical protein"
"PMG11_00463",1812,6.27559266831381,77.4714409353023,"up in DK1042 WT",9.59632927517602,9.64771205330866,4.00817773463553e-05,0.0241992430605478,"","","Putative Acyl-CoA synthetase"
"PMG11_07566",216,-4.08830733850109,0.0587891064942301,"down in DK1042 WT",8.9074509669022,-9.26546636434906,4.60586613878047e-05,0.0241992430605478,"","","Putative Grg1 protein"
"PMG11_09273",1650,5.66069194047239,50.5869004584543,"up in DK1042 WT",6.43388306857571,9.33747214433096,4.70815534247265e-05,0.0241992430605478,"","","hypothetical protein"
"PMG11_10898",900,-4.74531069708782,0.0372837117292743,"down in DK1042 WT",4.71832600908366,-9.25640317819954,4.75819465034286e-05,0.0241992430605478,"","","hypothetical protein"
"PMG11_03146",6693,-6.92298350187022,0.00824089359138301,"down in DK1042 WT",5.21979447449309,-9.3460936190043,4.93246942690365e-05,0.0241992430605478,"Verruculogen","FtmA","hypothetical protein"
"PMG11_08608",4449,5.97587270203302,62.9385790299243,"up in DK1042 WT",6.82197221950918,9.15836453866668,5.3278624343265e-05,0.0242039397607095,"","","Putative ABC transporter"
"PMG11_00459",1296,4.21350901634747,18.5520796808614,"up in DK1042 WT",9.1858164343361,8.96901466295148,5.56765564263543e-05,0.0242039397607095,"","","hypothetical protein"
"PMG11_05145",390,-4.58634387190464,0.0416267901962304,"down in DK1042 WT",4.92079212464422,-8.83272298375538,6.16638462841869e-05,0.0242039397607095,"","","hypothetical protein"
"PMG11_10661",1113,9.03950513259398,526.21374857981,"up in DK1042 WT",5.49042932814048,9.07624568513059,6.28049244639559e-05,0.0242039397607095,"","","hypothetical protein"
"PMG11_08180",201,-4.88054576901453,0.0339476196992702,"down in DK1042 WT",7.89483027350446,-8.71081408854729,6.75485365071459e-05,0.0242039397607095,"","","hypothetical protein"
"PMG11_06641",1482,7.18531537454782,145.544385241993,"up in DK1042 WT",6.51383614004996,8.85901394333216,6.75672180477234e-05,0.0242039397607095,"","","Putative Salicylate hydroxylase"
"PMG11_07739",333,-5.96350704375163,0.0160252753527228,"down in DK1042 WT",7.36182453584988,-8.71973584518011,7.03543957535817e-05,0.0242039397607095,"","","Putative CipC protein"
"PMG11_03697",2283,5.44749734768758,43.637524228693,"up in DK1042 WT",6.59276413886501,8.61991517625796,7.34490344418633e-05,0.0242039397607095,"","","hypothetical protein"
"PMG11_00468",1266,3.86003751889856,14.5206841067996,"up in DK1042 WT",8.84694074972925,8.50759138023998,7.40014011481324e-05,0.0242039397607095,"","","hypothetical protein"
"PMG11_07303",2319,-7.23110150224356,0.00665612617792514,"down in DK1042 WT",5.34320657363572,-8.63081295776037,7.84689437512244e-05,0.0242797591781079,"","","hypothetical protein"
"PMG11_00252",951,4.50065505914633,22.6376933637995,"up in DK1042 WT",8.02959449983738,8.43422232915503,7.97319687651603e-05,0.0242797591781079,"","","hypothetical protein"
"PMG11_00458",1497,4.15722446760395,17.8422353407955,"up in DK1042 WT",8.14497453528983,8.27060038098351,8.7754346762764e-05,0.0258319545420656,"","","Putative Permease of the major facilitator superfamily"
"PMG11_04588",1557,5.01079618972658,32.2403653983363,"up in DK1042 WT",6.58422708584519,8.24456397473035,9.26107057010772e-05,0.0263821013563295,"","","Putative Succinyl-CoA:3-ketoacid-coenzyme A transferase"
"PMG11_01679",1644,5.32100369723038,39.9743784641085,"up in DK1042 WT",5.7612987246297,8.11001893351749,0.000102945203152535,0.0276945161675948,"","","hypothetical protein"
"PMG11_11277",1677,6.20080059695374,73.5575027728387,"up in DK1042 WT",5.91812322888536,8.09569285065993,0.000107969130359556,0.0276945161675948,"","","hypothetical protein"
"PMG11_02754",519,-6.50800149128194,0.0109874355168464,"down in DK1042 WT",4.81509242994252,-8.07433578854958,0.000110984002082591,0.0276945161675948,"","","hypothetical protein"
"PMG11_07401",648,-3.95823630338132,0.0643357166100941,"down in DK1042 WT",6.60516434026909,-7.89480120696387,0.00011291343739193,0.0276945161675948,"","","hypothetical protein"
"PMG11_07552",1440,4.0721268134263,16.8202449861639,"up in DK1042 WT",8.38123290230627,7.85957594683995,0.00011628871854329,0.0276945161675948,"","","Putative Aminomethyltransferase"
"PMG11_00027",1005,4.56930264734548,23.7408987647714,"up in DK1042 WT",6.74640029492088,7.88011632936589,0.000117014064540078,0.0276945161675948,"","","Putative Aldo/keto reductase family protein"
"PMG11_07132",1038,-3.96342653180633,0.0641046787770239,"down in DK1042 WT",6.65628370730032,-7.75586914615933,0.000124665233346764,0.0276945161675948,"","","hypothetical protein"
"PMG11_06305",1464,4.08974759984901,17.0269437871319,"up in DK1042 WT",7.06681064149096,7.75664989171044,0.000125228237618933,0.0276945161675948,"","","hypothetical protein"
"PMG11_04146",954,-3.49776964299272,0.0885250986784828,"down in DK1042 WT",8.0455254835672,-7.72297552831612,0.000125442265508299,0.0276945161675948,"","","Putative Remark: possible phosphatase"
